"code" "name" "class"
"sh600251" "冠农股份" "农业"
"sh600257" "大湖股份" "农业"
"sh600265" "ST景谷" "农业"
"sh600313" "农发种业" "农业"
"sh600354" "敦煌种业" "农业"
"sh600359" "新农开发" "农业"
"sh600371" "万向德农" "农业"
"sh600438" "通威股份" "农业"
"sh600467" "好当家" "农业"
"sh600506" "香梨股份" "农业"
"sh600540" "新赛股份" "农业"
"sh600598" "*ST大荒" "农业"
"sh600965" "福成五丰" "农业"
"sh600975" "新五丰" "农业"
"sh601996" "丰林集团" "农业"
"sz000048" "康达尔" "农业"
"sz000061" "农" "农业"
"sz000592" "平潭发展" "农业"
"sz000663" "永安林业" "农业"
"sz000702" "正虹科技" "农业"
"sz000713" "丰乐种业" "农业"
"sz000735" "罗" "农业"
"sz000798" "中水渔业" "农业"
"sz000860" "顺鑫农业" "农业"
"sz000876" "新" "农业"
"sz000998" "隆平高科" "农业"
"sz002041" "登海种业" "农业"
"sz002069" "獐" "农业"
"sz002086" "东方海洋" "农业"
"sz002100" "天康生物" "农业"
"sz002124" "天邦股份" "农业"
"sz002157" "正邦科技" "农业"
"sz002173" "千足珍珠" "农业"
"sz002234" "*ST民和" "农业"
"sz002299" "圣农发展" "农业"
"sz002311" "海大集团" "农业"
"sz002321" "华英农业" "农业"
"sz002385" "大北农" "农业"
"sz002447" "壹桥海参" "农业"
"sz002458" "益生股份" "农业"
"sz002477" "雏鹰农牧" "农业"
"sz002505" "大康牧业" "农业"
"sz002548" "金新农" "农业"
"sz002567" "唐人神" "农业"
"sz002679" "福建金森" "农业"
"sz002696" "百洋股份" "农业"
"sz300021" "大禹节水" "农业"
"sz300087" "荃银高科" "农业"
"sz300094" "国联水产" "农业"
"sz300106" "西部牧业" "农业"
"sz300143" "星河生物" "农业"
"sz300186" "大华农" "农业"
"sz300189" "神农大丰" "农业"
"sz300268" "万福生科" "农业"
"sz300313" "天山生物" "农业"
